拉勾,数据分析,https://www.lagou.com/jobs/list_数据分析?labelWords=&fromSearch=true&suginput=,6823054,https://www.lagou.com/jobs/6823054.html?show=087544dcf3cf440099dd69beffd236c3,省钱快报,"移动互联网,电商",C轮,钟鼎创投、晨兴资本、中国平安(B轮)，晨兴资本(A轮)，好未来(天使轮),150-500人,http://www.ibantang.com,数据分析师,"['电商', 'SQL', '数据分析']",['成长空间、技能提升、免费三餐'],"['职位描述：', '1、以实现业务目标为导向，支持产品运营日常数据分析需要；深入分析挖掘数据，应用数据分析方法为产品运营策略提供方案与建议，跟踪执行效果； ', '2、负责深度的专题分析，自选专题或者配合产品、运营、销售部门进行特定专题的深度数据分析，并形成分析报告；通过数据研究，探索提升用户增长的方法和路径； ', '3、结合业务发展需求，定期进行数据分析复盘机制及数据汇报工作；', '4、竞品分析，收集行业及竞品信息，并进行分析。', '岗位要求：', '1、统招本科及以上学历，理工科背景，计算机、统计学、数学等相关专业； ', '2、具备2年以上互联网行业数据从业经验，有成熟、完整的数据驱动业务增长案例为佳； ', '3、熟练使用统计分析工具，必须能熟练使用SQL类SQL语言以及Excel，对统计原理、常用数据挖掘算法有一定了解；', '4、具有良好的沟通能力，能够引导产品运营团队应用正确方法框架进行基于数据的产品运营；对数据具有足够的敏感性和洞察力，愿意在数据分析领域深入钻研。']",20k-40k ,北京 ,经验3-5年 ,本科及以上 ,全职,北京,东城区,雍和宫,查看地图,1天前 发布于拉勾网
拉勾,数据分析,https://www.lagou.com/jobs/list_数据分析?labelWords=&fromSearch=true&suginput=,6802721,https://www.lagou.com/jobs/6802721.html?show=087544dcf3cf440099dd69beffd236c3,芳果,"移动互联网,电商",A轮,保密(天使轮),50-150人,https://www.lagou.com/gon...,数据分析,"['电商', '社交', 'SQL', '数据库', '数据运营', 'BI']",['五险一金、弹性工作、带薪年假、年度体检'],"['主要职责：', '1、深入理解Fingo电商业务需求，利用数据分析的手段，发现具体问题和机会，推进业务演进，打造高质量数据业务服务；', '2、构建全面的、准确的、能反映服务业务线特征的整体指标体系, 并基于业务监控指标体系，及时发现与定位业务问题；', '3、对业务问题进行深入分析，为团队运营决策、产品方向、服务售策略提供数据支持；', '4、沉淀分析思路与框架，提炼数据产品需求，与相关团队（如技术开发团队）协作并推动数据产品的落地；', '5、与相关团队协作进行数据建模工作，推动部门的数据化运营能力提升。', '\xa0', '岗位要求：', '1、统计、应用数学、信息技术、计算机等本科以上学历；', '2、熟练掌握数据仓库的应用，熟悉MySQL，了解MangoDB加分，熟悉SQL//Hive等数据分析工具；', '3、熟练独立编写数据分析报告，及时发现和分析其中隐含的变化和问题；', '4、良好的数据敏感度，能从海量数据提炼核心结果，有丰富的数据分析、挖掘、清洗和建模的经验；', '5、熟练掌握至少一门基础编程语言（R、Python、Shell、PHP等）；', '6、有较强的逻辑分析能力，具备良好的沟通能力和团队合作精神。', '注：此岗位不接受2020毕业生']",7k-14k ,杭州 ,经验1-3年 ,本科及以上 ,全职,杭州,余杭区,仓前,查看地图,1天前 发布于拉勾网
拉勾,数据分析,https://www.lagou.com/jobs/list_数据分析?labelWords=&fromSearch=true&suginput=,5204912,https://www.lagou.com/jobs/5204912.html?show=087544dcf3cf440099dd69beffd236c3,仟金顶,电商,B轮,红杉资本，易居资本(A轮),150-500人,http://www.qjdchina.com,数据建模,"['算法', '数据架构']","['六险一金,定期体检,丰厚年终']","['工作职责:', '1.深入理解金融风控业务逻辑，进行数据分析从而把需要解决的业务问题转化为机器学习/数据挖掘问题；', '2. 对海量数据清洗、分析、挖掘、建模，参与模型的维护、部署、评估工作，并形成相应的模型产品；', '3. 深入研究公司数据源，整理和发掘数据价值，形成数据产品并推动落地；', '4. 对用户基本数据、行为数据及各类征信数据进行分析，挖掘各类用户特征，发现潜在的异常用户行为并从多个角度对用户进行量化分析，实现对用户不良行为的自动识别；', '5. 建立评分卡模型(包括A卡、B卡、C卡)；', '6. 参与模型应用策略的开发、系统测试、验证和修改更新工作，提供必要的专家经验和使用信息等；', '7. 对模型的表现进行监控和评估，负责对贷前、贷中风险预警异常情况进行深入分析并提出独立的风险判断，对业务风险指标进行跟踪分析及优化；', '8. 整理编写风控模型分析报告，及时发现和分析其中的变化和问题，为业务发展提供决策支持。', '任职资格:', '1. 本科以上学历，统计学，应用数学，计算机，金融数学等相关专业，较好工程能力优先考虑；', '2. 三年以上数据建模经验，具有逻辑回归、决策树、随机森林、GBDT、GLM、深度学习等算法实际使用经验，具有较强的数据整合，数据分析/挖掘，和解决业务问题的能力；', '3. 熟练使用SQL，Python进行数据分析和模型开发；', '4. 能够整体搭建数据架构，构建高质量的特征，建立完善的特征体系；', '5. 有金融研究、金融建模、信贷业务建模或信用评分相关工作经验优先；', '6. 熟悉Hadoop和Spark平台，熟悉相关工具来处理海量数据，具有互联网行业数据经验优先。']",20k-35k ,杭州 ,经验3-5年 ,本科及以上 ,全职,杭州,滨江区,西兴,查看地图,09:49 发布于拉勾网
拉勾,数据分析,https://www.lagou.com/jobs/list_数据分析?labelWords=&fromSearch=true&suginput=,6674885,https://www.lagou.com/jobs/6674885.html?show=087544dcf3cf440099dd69beffd236c3,达达-京东到家,消费生活,D轮及以上,NULL,2000人以上,http://www.imdada.cn,数据分析,['数据分析'],['待遇好 平台大 领导nice 氛围简单'],"['岗位职责：', '1. 根据公司战略和策略以及竞对情况，不断输出适合京东到家业务发展的补贴策略；', '2. 基于对业务理解，建立补贴分析框架，定期输出日报、周报、月报数据分析，并持续迭代监控复盘逻辑；', '3. 负责补贴策略产品化管控；', '4. 通过对各项补贴经营指标深度分析，及时发现数据问题，并跟踪改进情况，最终提升补贴花费效率和经营效率 ，沉淀补贴方法论输出团队。', '5. 基于数据分析，从品类、城市、商户维度优化补贴策略，提升ROI。', '任职资格：', '1. 本科及以上学历，3-5年工作经验，有平台补贴策略、商家分级运营、商业分析经验优先；', '2. 具备非常强的分析总结能力和系统性思维能力，具备良好的数据呈现能力；', '3. 沟通能力好，具备跨部门协调推进能力。']",15k-30k ,北京 ,经验3-5年 ,本科及以上 ,全职,北京,大兴区,亦庄,查看地图,1天前 发布于拉勾网
拉勾,数据分析,https://www.lagou.com/jobs/list_数据分析?labelWords=&fromSearch=true&suginput=,6496141,https://www.lagou.com/jobs/6496141.html?show=087544dcf3cf440099dd69beffd236c3,贝贝集团,电商,D轮及以上,NULL,500-2000人,https://www.beibei.com.cn/,数据分析,['电商'],['年终奖等'],"['岗位描述', '1. 完善贝贝指标体系, 并基于业务监控指标体系，及时发现与定位业务问题；', '2. 通过专题分析，对业务问题进行深入分析，为业务运营决策提供数据支持；\xa0', '3. 沉淀分析思路与框架，提炼数据产品需求，协作并推动数据产品落地；', '4. 通过数据分析、数据挖掘，推动数据化运营；', '岗位要求', '1. 数学、计算机、统计学等相关专业本科以上学历，3年以上相关工作经历;\xa0', '2. 熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题;\xa0', '3. 良好的数据敏感度,能从海量数据提炼核心结果，有丰富的数据分析、挖掘、清洗和建模的经验;\xa0', '4. 有数据模型建立和运营经验、数据化运营经验、数据类产品类规划经验，尤其是互联网相关的优先;']",15k-25k ,杭州 ,经验3-5年 ,本科及以上 ,全职,杭州,NULL,江干区,查看地图,09:47 发布于拉勾网
拉勾,数据分析,https://www.lagou.com/jobs/list_数据分析?labelWords=&fromSearch=true&suginput=,6831881,https://www.lagou.com/jobs/6831881.html?show=087544dcf3cf440099dd69beffd236c3,达达-京东到家,消费生活,D轮及以上,NULL,2000人以上,http://www.imdada.cn,数据分析,"['BI', '数据分析']",['五险一金 下午茶'],"['1 、负责o2o电商日常运营数据的统计, 监控, 梳理指标体系；', '2、基于海量用户行为数据, 挖掘不同业务场景下的数据洞察, 发现运营中潜在的问题与机会, 协助推进解决方案的落地和应用；', '3、深刻理解数据和业务的关系, 进行各因素影响的量化分析, 通过分析报告和数据结论驱动产品和运营的核心策略的制定和优化。', '要求：', '1、本科以上学历, 数学, 统计学, 计算机等相关专业；', '2、精通SQL, Excel, R或python等工具和语言；', '3、具备很好的逻辑思维和数据思维能力, 对数据和业务有足够的敏感性；', '4、良好的理解, 沟通, 表达, 团队协作, 跨部门协作能力；', '5、有互联网或电商行业经验优先。']",20k-40k ,北京 ,经验3-5年 ,本科及以上 ,全职,北京,大兴区,亦庄,查看地图,1天前 发布于拉勾网
拉勾,数据分析,https://www.lagou.com/jobs/list_数据分析?labelWords=&fromSearch=true&suginput=,6874637,https://www.lagou.com/jobs/6874637.html?show=087544dcf3cf440099dd69beffd236c3,YIDATEC,"移动互联网,游戏",不需要融资,NULL,2000人以上,http://www.yidatec.com/,数据分析,"['数据挖掘', 'Scala', '数据仓库', '数据分析']",['六险一金，班车，年终奖，免费早餐'],"['岗位职责', '熟练掌握信息流广告业务的主要链路及收入构成，分析各广告链路的数据，挖掘业务增长点，辅助广告相关决策', '岗位要求', '1. 1年及以上数据分析相关工作经验', '2. 熟练使用hive sql进行常规数据处理', '3. 拥有良好的业务sense，对数据敏感，有较好的逻辑思维能力', '4. 有python基础，熟悉python/spark优先', '5. 熟悉广告业务优先']",9k-12k ,深圳 ,经验1-3年 ,大专及以上 ,全职,深圳,南山区,前海,查看地图,1天前 发布于拉勾网
拉勾,数据分析,https://www.lagou.com/jobs/list_数据分析?labelWords=&fromSearch=true&suginput=,6877668,https://www.lagou.com/jobs/6877668.html?show=087544dcf3cf440099dd69beffd236c3,华苏科技,"移动互联网,企业服务",上市公司,NULL,2000人以上,http://www.howso.cn,数据分析,"['数据库', '数据分析', 'SQL']",['五险一金 周末双休 不加班 节日福利'],"['1、 负责日常审计数据分析，开展审计数据挖掘项目，为审计项目提供数据支持；', '2、 推动数据风险预警模型体系的建设工作，跟踪模型有效性，持续完善优化模型；', '3、 参与智慧审计系统相关的项目；', '4、 全日制本科及以上学历，统计、数学、信息技术、计算机等相关专业；', '5、良好的数据敏感度，对业务有较好的理解能力，能够从海量数据中挖掘数据价值，有丰富的数据分析、挖掘、清洗和建模的经验；', '6、熟练运用SQL，精通至少一种数据分析语言（Python/R/Java）进行数据分析工作']",8k-10k ,杭州 ,经验1-3年 ,本科及以上 ,全职,杭州,江干区,四季青,查看地图,1天前 发布于拉勾网
拉勾,数据分析,https://www.lagou.com/jobs/list_数据分析?labelWords=&fromSearch=true&suginput=,6646722,https://www.lagou.com/jobs/6646722.html?show=087544dcf3cf440099dd69beffd236c3,美的IoT,硬件,上市公司,NULL,2000人以上,https://www.msmartlife.com,大数据分析运营,"['大数据', 'Hive', '数据挖掘', '数据分析']","['500强,上市公司,六险一金,扁平化管理']","['岗位要求：', '负责美的智能产品数据挖掘分析，驱动产品智能及用户体验提升，主要包括：', '1、通过数据洞察发现问题及分析场景，撰写分析报告及建议解决方案，推动业务变革；', '2、使用常用的数据分析及挖掘算法模型，按需求建立模型，为业务提供决策支持；', '3、面向用户、事业部及业务部门发布数据报告及数据小品；', '4、参与数据产品及数据可视化建设；', '5、挖掘智能用户、设备数据，制定标签为营销企划提供数据支撑；', '工作要求：', '1、统招本科及以上学历，3年以上工作经验，2年以上数据分析或数据挖掘经验；', '2、熟悉常用的数理统计理论、数据分析方法及挖掘算法；', '2、掌握R、Python、SPSS等至少一钟分析挖掘工具；', '2、熟练使用办公软件，有较强的报告撰写能力及一定的汇报能力；', '4、数据大数据体系基本架构，能够使用SQL查询取数""', '【加分项】', '1、有机器学习、深度学习实践经验；', '2、有用户标签应用产品经验；']",15k-25k ,广州 ,经验3-5年 ,本科及以上 ,全职,广州,NULL,番禺区,查看地图,08:03 发布于拉勾网
拉勾,数据分析,https://www.lagou.com/jobs/list_数据分析?labelWords=&fromSearch=true&suginput=,6849836,https://www.lagou.com/jobs/6849836.html?show=087544dcf3cf440099dd69beffd236c3,酷云互动,"数据服务,广告营销",B轮,NULL,150-500人,http://www.kuyun.com/,数据分析,['数据分析'],['潜力职位 领导给力 氛围融洽'],"['岗位职责：', '1、针对市场热点话题热点节目进行数据挖掘分析，形成图文报告；', '2、针对指定电视媒体电视节目制作用户关注分析报告；', '3、对合作客户进行日常数据分析支持（平台软件操作指导、数据解读、分析需求报告支持等）；', '任职资格：', '1、统计学相关专业毕业，相关岗位1-3年工作经验，有市场研究公司或传媒公司数据分析研究经验、互联网数据相关工作经验优先考虑', '2、对传媒行业比较熟悉，了解电视台、广告公司、广告主的关联关系， 对热门视频节目内容有个人观感', '3、熟练应用Excel、PPT等办公软件']",8k-16k ,北京 ,经验3-5年 ,本科及以上 ,全职,北京,东城区,雍和宫,查看地图,09:52 发布于拉勾网
拉勾,数据分析,https://www.lagou.com/jobs/list_数据分析?labelWords=&fromSearch=true&suginput=,6823417,https://www.lagou.com/jobs/6823417.html?show=087544dcf3cf440099dd69beffd236c3,360,信息安全,上市公司,NULL,2000人以上,http://www.360.cn,数据分析,['数据分析'],['平台大 成长快，免费三餐。健身房，班车'],"['岗位职责：', '1.\xa0 \xa0 \xa0 基于各类运营活动的分析，识别运营活动中的刷量数据，分析有效数据的价值；', '2.\xa0 \xa0 \xa0 建立完善的异常指标监控体系，快速发现及定位疑似作弊问题，跟踪反作弊技术的最新进展并应用于实践；', '3.\xa0 \xa0 \xa0 针对运营数据的深入分析，定期或不定期输出专题分析报告', '4.\xa0 \xa0 \xa0 完成上级交办的其他事项。', '\xa0', '任职资格：', '1.\xa0 \xa0 \xa0 本科及以上学历，数学类专业优先；', '2.\xa0 \xa0 \xa0 6年以上分析经验，有独立完成分析项目的经验，并对分析体系有一定的认识。', '3.\xa0 \xa0 \xa0 了解常用数据挖掘方法和模型，能独立搭建数据分析体系；', '4.\xa0 \xa0 \xa0 对分析结果有独立的思考，能准确的做出最佳判断；', '5.\xa0 \xa0 \xa0 良好的沟通交流、逻辑分析能力和文字表达能力；', '责任心强、有良好的团队协作和执行力。']",20k-30k ,北京 ,经验5-10年 ,本科及以上 ,全职,北京,NULL,朝阳区,查看地图,1天前 发布于拉勾网
